Moyenne_Generale,Note_Maths,Note_Physique,Note_Francais,Filiere_Bac,Recommendation
13.97,11.19,15.84,15.84,SVT,FST
11.0,14.8,12.11,9.65,SVT,Faculté (Licence Fondamentale)
15.98,15.92,16.94,9.23,SM-A,CPGE (Prépas)
12.48,13.91,17.97,16.19,SVT,ENSA / ENSAM
10.73,16.24,11.66,15.9,SVT,Faculté (Licence Fondamentale)
14.61,14.56,16.59,14.96,SM-A,ENSA / ENSAM
10.3,16.58,17.63,11.38,SM-A,ENSA / ENSAM
13.08,13.63,16.19,9.91,PC,ENSA / ENSAM
12.97,12.68,5.84,16.14,Eco-Gestion,ENCG
16.26,16.09,13.96,10.5,SM-B,CPGE (Prépas)
14.42,15.53,16.38,14.64,SM-A,CPGE (Prépas)
12.92,14.59,13.31,14.97,SM-B,ENSA / ENSAM
15.45,12.56,16.12,13.37,PC,FST
17.17,12.94,13.57,9.21,Eco-Gestion,ENCG
14.67,6.27,9.3,18.4,Eco-Gestion,ENCG
13.03,18.07,16.49,12.42,Eco-Gestion,ENSA / ENSAM
10.0,10.44,11.31,11.16,PC,Faculté (Licence Fondamentale)
10.0,11.41,14.9,15.6,SVT,Faculté (Licence Fondamentale)
12.08,12.68,8.33,10.12,Eco-Gestion,ENCG
11.17,12.76,13.09,14.18,Eco-Gestion,FST
12.44,11.93,17.3,14.28,PC,FST
13.17,8.79,8.65,15.07,SVT,FST
14.59,11.3,15.77,14.5,Eco-Gestion,ENCG
12.79,10.54,10.97,13.19,Eco-Gestion,ENCG
14.46,9.81,8.26,15.1,SVT,FST
13.19,17.69,16.21,17.55,SM-A,ENSA / ENSAM
10.0,14.92,18.35,10.3,SM-A,ENSA / ENSAM
10.18,8.96,5.72,11.66,Eco-Gestion,Faculté (Licence Fondamentale)
12.57,14.99,16.05,13.73,SM-B,ENSA / ENSAM
10.0,8.42,9.82,11.89,SVT,Faculté (Licence Fondamentale)
14.8,6.67,8.06,10.69,SVT,FST
17.59,18.87,15.38,14.99,SM-B,Medecine / Pharmacie
16.66,7.5,14.58,16.9,SVT,FST
12.36,10.0,14.59,14.49,PC,FST
17.47,13.93,8.96,12.08,SVT,FST
13.45,10.21,11.33,16.59,SVT,FST
11.99,9.69,14.0,10.65,SVT,FST
11.16,14.3,16.64,15.77,SM-A,ENSA / ENSAM
12.09,15.7,13.37,11.6,PC,ENSA / ENSAM
11.84,14.47,11.12,9.78,SVT,FST
13.51,14.92,14.57,18.38,PC,ENSA / ENSAM
13.48,17.09,17.21,17.08,PC,ENSA / ENSAM
13.01,14.13,17.53,17.43,PC,ENSA / ENSAM
14.31,16.49,14.49,7.89,SM-B,CPGE (Prépas)
16.57,11.75,13.47,15.84,SVT,FST
15.85,17.01,13.92,7.07,SM-A,CPGE (Prépas)
10.0,15.01,14.39,12.06,SM-A,ENSA / ENSAM
10.0,17.24,18.97,13.37,SM-A,ENSA / ENSAM
15.8,15.57,14.48,13.37,SM-A,CPGE (Prépas)
10.0,9.52,11.36,14.35,SVT,Faculté (Licence Fondamentale)
12.33,16.42,15.92,14.3,SM-A,ENSA / ENSAM
10.0,10.46,17.27,10.99,PC,Faculté (Licence Fondamentale)
10.0,13.81,12.79,14.3,SM-B,Faculté (Licence Fondamentale)
14.62,11.33,5.95,14.43,Eco-Gestion,ENCG
15.28,13.12,15.28,13.72,SM-A,ENSA / ENSAM
11.27,14.66,16.35,8.91,Eco-Gestion,ENSA / ENSAM
10.0,11.84,10.17,14.3,Eco-Gestion,Faculté (Licence Fondamentale)
11.36,12.65,9.94,11.68,Eco-Gestion,FST
14.18,11.77,17.98,14.38,PC,FST
10.0,17.84,14.38,11.03,SM-A,ENSA / ENSAM
13.55,8.77,12.08,9.88,SVT,FST
12.95,17.7,13.38,13.82,PC,ENSA / ENSAM
14.74,16.7,12.8,13.53,SVT,CPGE (Prépas)
13.36,14.06,12.24,15.31,SM-A,FST
10.08,17.01,15.12,9.58,PC,ENSA / ENSAM
16.59,4.63,8.06,12.66,Eco-Gestion,ENCG
12.52,17.2,17.35,13.92,PC,ENSA / ENSAM
12.92,13.2,14.83,17.22,PC,ENSA / ENSAM
10.2,16.4,10.79,10.98,SM-A,Faculté (Licence Fondamentale)
11.67,9.43,9.36,14.69,Eco-Gestion,FST
10.35,11.68,10.77,16.94,Eco-Gestion,Faculté (Licence Fondamentale)
12.48,14.61,18.73,10.99,SM-B,ENSA / ENSAM
18.14,16.18,14.44,13.37,SM-B,CPGE (Prépas)
10.0,13.33,12.3,10.74,SVT,Faculté (Licence Fondamentale)
10.0,13.75,20.0,11.55,SM-B,ENSA / ENSAM
17.41,17.4,11.78,12.16,SM-A,CPGE (Prépas)
12.37,13.75,16.95,4.83,PC,ENSA / ENSAM
10.99,12.5,7.55,13.97,Eco-Gestion,Faculté (Licence Fondamentale)
16.12,11.93,14.29,12.18,PC,FST
11.18,13.9,14.05,9.42,SM-A,ENSA / ENSAM
18.48,10.33,18.04,9.11,PC,FST
15.03,11.46,13.26,11.16,Eco-Gestion,ENCG
11.54,14.35,15.45,16.35,SM-B,ENSA / ENSAM
19.47,8.49,10.55,7.8,SVT,FST
11.18,10.82,11.1,10.44,Eco-Gestion,FST
15.23,10.63,6.78,13.23,Eco-Gestion,ENCG
13.9,15.17,7.71,11.13,Eco-Gestion,ENCG
16.91,13.51,14.64,8.52,Eco-Gestion,ENSA / ENSAM
17.68,15.66,15.57,12.69,SM-A,CPGE (Prépas)
13.1,4.57,12.5,17.56,Eco-Gestion,ENCG
10.74,14.23,13.94,11.46,PC,ENSA / ENSAM
14.38,19.54,16.82,14.92,SM-A,CPGE (Prépas)
10.97,16.71,13.68,12.4,SM-B,ENSA / ENSAM
19.04,13.84,17.1,17.53,PC,ENSA / ENSAM
13.41,16.24,13.16,13.67,PC,ENSA / ENSAM
11.9,15.47,17.24,11.11,PC,ENSA / ENSAM
13.55,19.83,13.45,9.75,PC,ENSA / ENSAM
10.0,16.47,19.23,10.49,SM-A,ENSA / ENSAM
10.09,15.47,17.15,12.95,SM-B,ENSA / ENSAM
16.6,15.33,16.13,13.82,SM-B,CPGE (Prépas)
11.03,15.09,14.87,13.92,Eco-Gestion,ENSA / ENSAM
10.0,12.88,11.64,14.47,SVT,Faculté (Licence Fondamentale)
14.61,16.11,15.0,16.59,SM-A,CPGE (Prépas)
16.56,19.03,11.98,13.03,SM-B,CPGE (Prépas)
15.16,14.62,14.38,14.21,SM-A,ENSA / ENSAM
15.99,17.34,14.78,7.26,SM-A,CPGE (Prépas)
10.73,9.1,13.69,4.78,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,18.37,16.04,16.95,SM-B,ENSA / ENSAM
17.5,11.4,4.82,14.29,SVT,FST
12.03,15.82,13.77,11.01,SVT,ENSA / ENSAM
12.25,12.26,9.4,10.54,SVT,FST
16.98,15.91,13.6,10.32,PC,CPGE (Prépas)
14.67,13.79,12.02,13.44,SM-B,FST
14.37,16.32,15.63,8.48,PC,CPGE (Prépas)
19.5,15.68,19.37,11.06,PC,Medecine / Pharmacie
11.07,13.04,17.03,17.87,PC,ENSA / ENSAM
15.78,10.44,7.0,14.89,Eco-Gestion,ENCG
13.17,14.4,11.02,11.33,Eco-Gestion,ENCG
13.81,17.99,16.06,10.69,SM-A,ENSA / ENSAM
17.59,16.1,12.3,15.06,SM-A,CPGE (Prépas)
14.52,15.48,14.13,12.9,SM-B,CPGE (Prépas)
14.61,16.08,16.79,14.77,SM-B,CPGE (Prépas)
16.22,11.53,13.29,14.2,Eco-Gestion,ENCG
11.91,15.15,14.75,12.56,SM-A,ENSA / ENSAM
10.48,17.01,14.27,11.83,SM-A,ENSA / ENSAM
10.0,17.94,17.88,10.72,PC,ENSA / ENSAM
10.0,13.71,11.36,14.17,SVT,Faculté (Licence Fondamentale)
19.17,12.41,14.57,14.04,SVT,FST
10.0,11.81,14.13,13.7,SVT,Faculté (Licence Fondamentale)
12.34,12.36,11.94,12.72,Eco-Gestion,ENCG
12.17,12.03,9.24,10.75,SVT,FST
13.92,9.0,6.82,10.36,SVT,FST
15.45,13.65,16.21,12.19,PC,ENSA / ENSAM
15.58,11.29,18.15,16.26,SM-B,FST
11.25,13.34,16.72,10.07,Eco-Gestion,ENSA / ENSAM
12.5,19.78,13.07,13.72,SM-A,ENSA / ENSAM
13.85,11.45,16.03,14.16,PC,FST
12.25,11.54,13.14,13.3,SVT,FST
17.82,14.96,13.87,15.43,SM-A,ENSA / ENSAM
14.47,12.69,17.83,16.67,PC,FST
15.2,6.99,14.4,19.18,Eco-Gestion,ENCG
14.99,12.76,12.8,16.11,SVT,FST
16.52,11.17,11.55,9.06,Eco-Gestion,ENCG
13.54,14.28,17.0,14.55,PC,ENSA / ENSAM
10.0,18.13,13.45,11.4,SM-A,ENSA / ENSAM
14.2,19.79,14.7,13.6,SM-B,CPGE (Prépas)
11.05,11.8,8.53,17.87,SVT,FST
11.41,10.42,7.62,11.65,Eco-Gestion,FST
14.76,12.0,13.7,10.1,SM-A,FST
16.71,17.23,13.65,15.66,SM-A,CPGE (Prépas)
13.06,18.8,16.56,12.35,SM-B,ENSA / ENSAM
13.93,14.28,12.95,12.6,PC,FST
18.11,14.28,16.39,20.0,SM-B,ENSA / ENSAM
13.72,17.0,11.02,11.92,SM-B,FST
20.0,14.24,16.17,10.81,PC,ENSA / ENSAM
14.7,14.49,13.51,10.17,PC,ENSA / ENSAM
10.0,15.29,13.97,14.61,PC,ENSA / ENSAM
15.26,13.26,18.53,10.68,SM-A,ENSA / ENSAM
14.14,15.55,15.66,11.3,SM-A,CPGE (Prépas)
16.87,12.43,12.73,15.88,SVT,FST
15.02,14.37,10.48,12.56,SVT,FST
12.58,20.0,16.9,10.23,SM-B,ENSA / ENSAM
10.0,16.2,14.33,12.59,SM-B,ENSA / ENSAM
12.37,8.31,9.76,18.43,SVT,FST
10.45,13.74,3.53,16.65,Eco-Gestion,Faculté (Licence Fondamentale)
11.26,18.18,14.28,15.15,SM-B,ENSA / ENSAM
14.77,9.42,9.59,17.5,Eco-Gestion,ENCG
18.01,11.18,5.39,12.81,Eco-Gestion,ENCG
14.18,13.84,18.4,13.04,PC,ENSA / ENSAM
10.0,15.16,17.09,13.36,SM-A,ENSA / ENSAM
14.33,9.75,14.46,13.58,SVT,FST
16.59,16.01,15.36,9.79,SM-A,CPGE (Prépas)
11.17,10.42,11.01,12.42,SVT,FST
12.6,18.54,15.43,15.56,SM-A,ENSA / ENSAM
13.04,12.03,14.17,14.19,SVT,FST
10.65,16.03,14.97,10.14,SM-A,ENSA / ENSAM
14.94,15.01,15.92,11.49,PC,CPGE (Prépas)
12.64,15.32,7.25,11.73,Eco-Gestion,ENCG
14.26,15.08,11.95,12.86,SVT,CPGE (Prépas)
10.34,12.75,11.54,8.45,Eco-Gestion,Faculté (Licence Fondamentale)
11.69,10.95,15.85,11.02,SVT,FST
15.17,11.05,9.38,12.74,SVT,FST
11.88,12.83,16.97,13.59,PC,FST
18.18,17.55,12.9,11.98,SM-A,CPGE (Prépas)
11.8,11.32,12.37,10.62,SVT,FST
13.67,17.83,17.37,10.03,SM-A,ENSA / ENSAM
15.8,13.02,14.94,20.0,PC,ENSA / ENSAM
10.0,15.14,18.36,9.2,SM-B,ENSA / ENSAM
10.0,9.03,8.94,10.46,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,11.2,8.87,10.54,SVT,Faculté (Licence Fondamentale)
16.79,16.32,18.45,15.85,PC,Medecine / Pharmacie
11.34,17.05,15.19,11.51,SM-A,ENSA / ENSAM
20.0,9.14,12.09,9.48,SVT,FST
11.31,14.01,17.31,18.7,SM-A,ENSA / ENSAM
13.55,16.79,17.21,12.26,SM-B,ENSA / ENSAM
17.63,7.99,12.84,14.71,SVT,FST
19.02,12.22,10.27,15.89,Eco-Gestion,ENCG
19.18,9.04,8.68,9.98,SVT,FST
16.63,12.25,7.74,10.95,Eco-Gestion,ENCG
16.07,14.59,14.48,8.54,SM-A,ENSA / ENSAM
14.78,12.26,14.74,13.41,SVT,FST
15.34,17.08,18.67,15.33,PC,CPGE (Prépas)
11.35,14.15,16.05,15.29,PC,ENSA / ENSAM
10.55,15.22,11.23,14.48,SM-B,Faculté (Licence Fondamentale)
12.99,11.74,14.08,13.0,PC,FST
12.49,15.81,12.18,13.5,SM-B,FST
11.64,17.93,12.74,16.82,SM-A,FST
15.09,7.32,17.35,11.77,Eco-Gestion,ENCG
15.87,16.29,11.22,12.81,SM-A,CPGE (Prépas)
13.27,12.69,10.74,11.31,Eco-Gestion,ENCG
17.43,9.16,14.39,13.09,Eco-Gestion,ENCG
10.0,19.08,13.95,11.7,SM-B,ENSA / ENSAM
12.42,15.63,12.75,9.36,PC,FST
10.85,16.19,13.66,7.54,PC,ENSA / ENSAM
10.0,19.74,12.21,13.55,SM-B,Faculté (Licence Fondamentale)
12.75,16.14,9.38,12.2,SM-B,FST
12.63,16.9,15.71,15.71,SM-A,ENSA / ENSAM
17.54,15.23,16.43,10.93,SM-B,CPGE (Prépas)
14.89,11.18,13.4,8.61,PC,FST
10.0,18.02,11.97,13.82,SM-B,Faculté (Licence Fondamentale)
18.56,15.47,14.79,17.09,SM-B,CPGE (Prépas)
16.66,10.68,12.83,13.11,Eco-Gestion,ENCG
14.75,15.7,19.6,8.68,SM-B,CPGE (Prépas)
12.32,18.58,16.31,11.56,SM-A,ENSA / ENSAM
10.12,19.26,11.3,11.43,SM-B,Faculté (Licence Fondamentale)
11.88,8.37,12.24,9.66,SVT,FST
16.27,13.3,10.44,11.56,SVT,FST
18.65,13.17,10.19,9.73,Eco-Gestion,ENCG
17.63,20.0,9.54,6.35,Eco-Gestion,CPGE (Prépas)
11.53,9.47,7.2,15.48,SVT,FST
10.0,12.96,12.2,11.89,Eco-Gestion,Faculté (Licence Fondamentale)
13.42,11.16,9.89,12.76,Eco-Gestion,ENCG
10.0,15.67,16.67,14.5,PC,ENSA / ENSAM
13.97,15.0,17.77,13.86,PC,ENSA / ENSAM
12.56,16.72,17.38,11.0,SM-B,ENSA / ENSAM
11.6,9.43,7.44,13.55,SVT,FST
10.0,12.29,15.92,12.67,SM-A,Faculté (Licence Fondamentale)
14.54,15.4,8.98,12.39,SVT,CPGE (Prépas)
11.4,15.37,15.15,10.96,SVT,ENSA / ENSAM
10.0,14.36,16.59,14.12,PC,ENSA / ENSAM
10.0,13.47,18.56,7.33,PC,ENSA / ENSAM
12.92,10.74,12.34,14.37,Eco-Gestion,ENCG
18.32,18.71,17.4,12.14,SM-A,Medecine / Pharmacie
17.98,16.6,14.57,15.79,PC,CPGE (Prépas)
11.63,17.43,14.64,13.32,Eco-Gestion,ENSA / ENSAM
11.19,15.34,11.94,13.93,SM-A,FST
14.41,11.77,14.41,9.43,PC,FST
10.0,10.62,10.92,13.82,SVT,Faculté (Licence Fondamentale)
13.91,10.2,14.21,12.38,SVT,FST
15.3,14.42,15.45,18.89,SM-A,ENSA / ENSAM
16.68,16.67,14.27,8.42,SM-A,CPGE (Prépas)
12.7,13.56,16.47,11.84,PC,ENSA / ENSAM
12.39,10.67,14.3,17.36,PC,FST
10.37,18.87,13.23,15.02,SM-A,ENSA / ENSAM
10.52,13.64,17.81,13.74,SM-A,ENSA / ENSAM
12.32,14.85,5.85,15.03,Eco-Gestion,ENCG
14.1,11.98,13.56,15.74,Eco-Gestion,ENCG
15.74,12.2,9.2,15.34,Eco-Gestion,ENCG
10.59,11.82,8.38,10.24,SVT,Faculté (Licence Fondamentale)
17.48,7.57,9.47,16.31,SVT,FST
12.19,12.53,9.41,15.41,Eco-Gestion,ENCG
12.94,9.5,11.29,12.46,Eco-Gestion,ENCG
10.76,17.56,11.85,10.45,SM-A,Faculté (Licence Fondamentale)
10.0,7.09,10.22,16.63,SVT,Faculté (Licence Fondamentale)
15.65,10.48,9.47,15.62,Eco-Gestion,ENCG
15.21,18.14,14.82,15.05,SM-B,CPGE (Prépas)
12.16,11.85,18.76,19.45,PC,FST
13.2,13.56,4.75,11.33,Eco-Gestion,ENCG
14.55,13.84,9.74,16.82,SVT,FST
10.0,13.76,8.88,13.1,Eco-Gestion,Faculté (Licence Fondamentale)
11.41,14.21,14.63,11.34,SM-B,ENSA / ENSAM
15.38,18.35,19.23,8.71,SM-A,CPGE (Prépas)
10.0,6.23,10.26,8.44,SVT,Faculté (Licence Fondamentale)
13.88,16.09,16.5,17.48,SM-A,ENSA / ENSAM
10.0,14.4,15.61,7.06,PC,ENSA / ENSAM
14.4,16.05,15.14,14.92,SM-A,CPGE (Prépas)
12.89,9.87,9.69,8.57,Eco-Gestion,ENCG
10.0,11.42,12.78,8.29,SM-B,Faculté (Licence Fondamentale)
16.49,16.67,13.96,11.39,SM-A,CPGE (Prépas)
10.8,14.03,8.53,17.52,SM-B,Faculté (Licence Fondamentale)
10.57,9.0,9.76,8.64,SVT,Faculté (Licence Fondamentale)
13.6,14.92,11.43,10.52,SVT,FST
16.45,10.82,16.03,12.78,Eco-Gestion,ENCG
10.0,11.45,8.18,7.32,Eco-Gestion,Faculté (Licence Fondamentale)
13.19,11.52,11.98,16.3,Eco-Gestion,ENCG
14.29,11.5,12.75,11.26,SM-B,FST
15.08,13.99,15.71,12.63,PC,ENSA / ENSAM
13.53,14.82,14.19,15.8,PC,ENSA / ENSAM
11.9,14.87,15.36,17.8,PC,ENSA / ENSAM
10.52,16.67,13.8,3.94,SVT,ENSA / ENSAM
13.26,16.74,13.38,19.02,SVT,ENSA / ENSAM
10.0,16.47,19.16,15.64,PC,ENSA / ENSAM
10.0,16.05,16.98,13.65,Eco-Gestion,ENSA / ENSAM
14.31,12.86,14.39,14.17,SM-A,FST
15.71,14.15,13.51,8.11,PC,ENSA / ENSAM
10.0,14.52,16.62,17.74,SM-A,ENSA / ENSAM
10.0,15.83,18.11,12.76,PC,ENSA / ENSAM
14.86,12.52,14.09,12.22,SM-A,FST
19.17,10.51,11.16,14.32,Eco-Gestion,ENCG
13.06,14.56,10.17,7.29,SVT,FST
10.82,13.03,16.09,16.67,PC,ENSA / ENSAM
12.45,12.86,17.03,13.87,PC,FST
17.12,12.13,13.79,11.02,Eco-Gestion,ENCG
11.06,14.85,14.98,11.08,SM-B,ENSA / ENSAM
10.6,15.02,14.57,13.68,PC,ENSA / ENSAM
11.55,15.8,15.43,11.62,SM-A,ENSA / ENSAM
10.14,10.98,11.29,13.61,Eco-Gestion,Faculté (Licence Fondamentale)
13.37,15.99,18.41,10.03,SM-B,ENSA / ENSAM
17.87,13.87,12.85,14.12,PC,FST
13.97,11.77,15.44,11.88,PC,FST
12.24,12.84,9.34,11.21,SVT,FST
12.12,18.87,15.57,11.32,SM-B,ENSA / ENSAM
10.0,11.25,15.94,12.29,Eco-Gestion,Faculté (Licence Fondamentale)
15.65,14.62,13.63,11.35,SM-A,ENSA / ENSAM
12.77,12.81,13.44,9.63,PC,FST
12.46,9.51,12.77,11.86,Eco-Gestion,ENCG
20.0,11.38,14.81,16.89,SVT,FST
13.9,13.44,14.74,10.41,PC,ENSA / ENSAM
10.74,17.39,14.59,11.84,SM-B,ENSA / ENSAM
11.72,9.56,8.69,13.96,Eco-Gestion,FST
16.45,13.37,16.99,11.4,SM-A,ENSA / ENSAM
13.34,11.55,6.99,12.96,SVT,FST
10.0,11.02,10.85,17.42,Eco-Gestion,Faculté (Licence Fondamentale)
15.76,14.36,14.41,10.87,PC,ENSA / ENSAM
11.0,17.19,17.6,13.85,SM-A,ENSA / ENSAM
18.62,15.38,17.22,17.26,PC,Medecine / Pharmacie
16.24,10.1,17.33,15.95,PC,FST
11.66,13.32,13.23,10.45,SM-B,ENSA / ENSAM
16.84,14.54,14.04,13.73,SM-B,ENSA / ENSAM
13.2,15.73,18.16,10.49,PC,ENSA / ENSAM
15.56,9.47,14.95,14.94,SVT,FST
14.45,16.17,15.95,12.91,SM-B,CPGE (Prépas)
10.46,17.05,14.33,13.81,SM-B,ENSA / ENSAM
11.07,12.98,13.62,10.97,SM-B,FST
16.09,15.25,13.15,11.4,SM-B,CPGE (Prépas)
12.0,12.97,16.1,12.75,SM-A,FST
11.79,10.59,14.33,14.01,PC,FST
10.13,14.91,13.61,12.78,SM-A,ENSA / ENSAM
14.27,13.03,6.69,14.65,Eco-Gestion,ENCG
19.19,9.6,10.95,12.89,Eco-Gestion,ENCG
10.0,10.42,7.93,12.14,Eco-Gestion,Faculté (Licence Fondamentale)
13.07,19.25,12.28,18.08,SM-A,FST
17.24,13.48,16.07,9.74,PC,ENSA / ENSAM
12.76,9.69,9.49,9.86,Eco-Gestion,ENCG
14.36,15.58,14.19,18.55,SM-B,CPGE (Prépas)
10.0,8.5,11.31,13.74,Eco-Gestion,Faculté (Licence Fondamentale)
14.28,8.79,13.06,11.81,SVT,FST
12.44,11.02,16.32,9.65,SM-B,FST
15.96,13.9,16.38,11.96,SM-B,ENSA / ENSAM
16.56,17.84,17.42,11.07,SM-B,Medecine / Pharmacie
20.0,14.38,8.73,19.7,Eco-Gestion,ENCG
14.74,14.61,17.05,15.53,SM-B,ENSA / ENSAM
13.98,12.95,8.99,12.55,SVT,FST
13.58,11.69,15.45,14.05,SM-A,FST
11.94,12.4,2.08,9.2,SVT,FST
14.02,12.5,16.58,13.87,PC,FST
12.11,15.66,16.27,9.92,SM-B,ENSA / ENSAM
13.51,13.83,12.42,14.13,SVT,FST
16.95,11.45,16.49,14.48,Eco-Gestion,ENCG
10.0,12.06,16.5,15.26,PC,Faculté (Licence Fondamentale)
16.42,10.24,14.27,14.15,SVT,FST
16.95,11.32,15.6,11.78,SM-B,FST
12.65,13.61,13.83,13.59,Eco-Gestion,ENSA / ENSAM
10.0,19.33,14.64,14.87,SM-B,ENSA / ENSAM
11.18,15.61,15.81,15.34,PC,ENSA / ENSAM
16.89,10.22,9.73,9.06,SVT,FST
12.93,16.48,15.65,16.54,SM-B,ENSA / ENSAM
10.0,15.58,15.43,9.47,PC,ENSA / ENSAM
11.49,13.3,14.33,15.27,Eco-Gestion,ENSA / ENSAM
15.52,15.25,10.36,11.6,SVT,CPGE (Prépas)
14.64,9.79,10.83,12.76,SVT,FST
12.28,14.41,15.74,12.6,PC,ENSA / ENSAM
11.9,9.67,13.82,13.23,SVT,FST
11.82,11.48,8.76,9.0,Eco-Gestion,FST
10.23,15.92,12.66,8.13,Eco-Gestion,Faculté (Licence Fondamentale)
17.85,14.29,13.77,13.37,SVT,ENSA / ENSAM
12.03,19.2,15.43,8.75,SM-B,ENSA / ENSAM
16.65,16.73,15.49,11.19,SM-B,Medecine / Pharmacie
17.56,13.72,6.0,15.97,Eco-Gestion,ENCG
15.99,14.24,13.03,12.66,SM-B,ENSA / ENSAM
11.71,14.87,16.33,10.77,PC,ENSA / ENSAM
14.21,14.99,12.73,12.33,SM-A,FST
12.93,15.23,10.99,15.58,SVT,FST
10.29,16.91,14.82,12.44,PC,ENSA / ENSAM
13.97,18.51,15.33,7.98,Eco-Gestion,ENSA / ENSAM
10.0,16.77,15.0,15.48,SM-A,ENSA / ENSAM
16.56,9.77,8.48,10.97,Eco-Gestion,ENCG
11.61,14.86,16.63,9.46,SM-A,ENSA / ENSAM
13.6,12.75,12.42,16.02,PC,FST
13.85,18.54,14.35,12.11,SM-A,ENSA / ENSAM
12.22,16.91,17.95,14.23,SM-B,ENSA / ENSAM
14.76,12.6,12.76,9.65,PC,FST
11.58,12.22,9.03,13.58,SVT,FST
15.61,10.34,7.83,9.47,Eco-Gestion,ENCG
10.0,19.12,16.78,18.19,SM-B,ENSA / ENSAM
13.38,13.62,9.71,16.97,SVT,FST
18.82,15.93,15.44,12.87,SM-A,CPGE (Prépas)
10.0,10.11,18.21,14.47,SM-B,Faculté (Licence Fondamentale)
10.97,12.99,10.81,13.49,SVT,Faculté (Licence Fondamentale)
14.54,12.81,17.23,9.08,PC,FST
13.54,16.37,16.12,12.4,SM-A,ENSA / ENSAM
14.05,13.11,8.03,10.1,SVT,FST
14.47,16.47,16.36,7.38,SM-A,CPGE (Prépas)
14.9,13.57,9.37,12.42,SVT,FST
16.33,7.98,8.45,15.9,Eco-Gestion,ENCG
14.23,14.07,15.23,12.65,PC,ENSA / ENSAM
12.28,16.98,15.88,12.77,SM-B,ENSA / ENSAM
15.02,15.28,13.91,14.24,SVT,CPGE (Prépas)
18.7,16.11,16.31,13.94,SM-A,Medecine / Pharmacie
12.6,16.12,17.8,9.95,PC,ENSA / ENSAM
10.08,13.83,13.6,15.93,SM-B,ENSA / ENSAM
16.32,12.85,15.79,14.09,SM-A,FST
12.64,16.33,16.36,8.97,PC,ENSA / ENSAM
10.0,14.08,12.64,11.39,SM-A,Faculté (Licence Fondamentale)
15.54,13.63,13.67,17.41,PC,ENSA / ENSAM
11.39,13.35,17.69,16.56,SM-B,ENSA / ENSAM
12.73,17.8,13.61,14.03,SM-B,ENSA / ENSAM
14.0,13.45,16.82,12.78,SM-A,ENSA / ENSAM
13.57,13.18,13.55,5.57,PC,ENSA / ENSAM
15.13,8.88,14.34,11.79,SVT,FST
11.69,15.66,16.31,18.42,SM-B,ENSA / ENSAM
14.54,15.98,8.08,7.17,SVT,CPGE (Prépas)
12.22,19.08,17.81,13.57,SVT,ENSA / ENSAM
15.22,8.19,13.89,12.68,Eco-Gestion,ENCG
14.85,15.77,16.79,14.0,SM-A,CPGE (Prépas)
10.19,13.63,14.35,14.98,SM-A,ENSA / ENSAM
16.26,17.02,15.52,15.8,SM-A,Medecine / Pharmacie
11.39,13.28,16.36,2.87,PC,ENSA / ENSAM
15.42,15.1,16.53,11.83,SM-B,CPGE (Prépas)
14.1,15.07,12.92,16.01,SM-B,CPGE (Prépas)
18.51,13.65,13.48,7.82,Eco-Gestion,ENSA / ENSAM
12.33,11.52,10.16,12.16,Eco-Gestion,ENCG
11.95,10.15,9.96,15.55,Eco-Gestion,FST
12.94,6.26,16.33,14.45,SVT,FST
12.09,15.92,16.81,8.64,SM-A,ENSA / ENSAM
15.4,12.67,15.76,17.1,PC,FST
10.0,15.91,15.9,11.23,SM-B,ENSA / ENSAM
10.0,14.97,19.35,15.99,PC,ENSA / ENSAM
10.0,15.84,16.35,14.73,SM-A,ENSA / ENSAM
15.85,17.01,17.22,16.31,SM-A,CPGE (Prépas)
18.13,15.75,16.28,11.85,SM-B,Medecine / Pharmacie
12.69,9.23,10.19,12.77,SVT,FST
12.49,7.02,13.58,4.7,Eco-Gestion,ENCG
13.21,20.0,15.51,12.22,SVT,ENSA / ENSAM
16.49,16.02,15.61,11.23,SM-A,CPGE (Prépas)
10.22,16.39,14.71,12.72,SM-A,ENSA / ENSAM
13.72,12.54,7.06,13.12,SVT,FST
15.93,12.49,11.39,12.35,Eco-Gestion,ENCG
14.5,15.41,9.94,13.68,Eco-Gestion,CPGE (Prépas)
13.57,18.59,14.84,13.64,SM-A,ENSA / ENSAM
16.0,11.71,14.71,12.23,Eco-Gestion,ENCG
10.0,15.85,10.69,10.42,Eco-Gestion,Faculté (Licence Fondamentale)
15.03,17.36,14.39,14.86,SM-B,CPGE (Prépas)
11.04,10.54,15.01,11.62,SM-B,FST
10.0,11.87,14.89,11.28,PC,Faculté (Licence Fondamentale)
14.53,11.86,6.9,13.95,SVT,FST
17.12,18.73,15.56,15.43,SM-A,Medecine / Pharmacie
12.59,15.28,14.71,18.61,Eco-Gestion,ENSA / ENSAM
15.86,13.0,14.56,15.35,PC,FST
17.84,17.42,16.55,18.67,SM-B,Medecine / Pharmacie
16.94,12.03,12.28,10.06,Eco-Gestion,ENCG
17.92,18.41,9.99,12.08,SVT,CPGE (Prépas)
15.23,15.31,13.71,10.81,SM-B,CPGE (Prépas)
13.23,14.95,12.27,10.64,SM-A,FST
10.0,17.85,13.21,15.78,Eco-Gestion,ENSA / ENSAM
